index	account	attack	budget	victim_model	selector_model	K	targets	victims	craft_ensemble	num_surrogates	craft_steps	time_limit	run_name	job_file
77	aip-boyuwang	gradmatch	0.002	ConvNetBN	ResNet20BN	1	10	6	5	30	250	0-03:10:00	CIFAR10_ConvNetBN_gradmatch_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchResNet20BN_K1_ce5_tgt70	job_077_gm_b0002_vconv_sr20_k1.sh
78	aip-yiweilu	gradmatch	0.002	ConvNetBN	ResNet20BN	3	10	6	5	30	250	0-03:10:00	CIFAR10_ConvNetBN_gradmatch_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchResNet20BN_K3_ce5_tgt70	job_078_gm_b0002_vconv_sr20_k3.sh
79	aip-boyuwang	gradmatch	0.002	ConvNetBN	ResNet20BN	10	10	6	5	30	250	0-03:10:00	CIFAR10_ConvNetBN_gradmatch_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchResNet20BN_K10_ce5_tgt70	job_079_gm_b0002_vconv_sr20_k10.sh
80	aip-boyuwang	gradmatch	0.002	ConvNetBN	ResNet20BN	30	10	6	5	30	250	0-03:10:00	CIFAR10_ConvNetBN_gradmatch_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchResNet20BN_K30_ce5_tgt70	job_080_gm_b0002_vconv_sr20_k30.sh
81	aip-yiweilu	gradmatch	0.002	ConvNetBN	VGG13BN	1	10	6	5	30	250	0-03:10:00	CIFAR10_ConvNetBN_gradmatch_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchVGG13BN_K1_ce5_tgt70	job_081_gm_b0002_vconv_svgg_k1.sh
82	aip-boyuwang	gradmatch	0.002	ConvNetBN	VGG13BN	3	10	6	5	30	250	0-03:10:00	CIFAR10_ConvNetBN_gradmatch_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchVGG13BN_K3_ce5_tgt70	job_082_gm_b0002_vconv_svgg_k3.sh
83	aip-boyuwang	gradmatch	0.002	ConvNetBN	VGG13BN	10	10	6	5	30	250	0-03:10:00	CIFAR10_ConvNetBN_gradmatch_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchVGG13BN_K10_ce5_tgt70	job_083_gm_b0002_vconv_svgg_k10.sh
84	aip-yiweilu	gradmatch	0.002	ConvNetBN	VGG13BN	30	10	6	5	30	250	0-03:10:00	CIFAR10_ConvNetBN_gradmatch_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchVGG13BN_K30_ce5_tgt70	job_084_gm_b0002_vconv_svgg_k30.sh
85	aip-boyuwang	gradmatch	0.002	ResNet20BN	ConvNetBN	1	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchConvNetBN_K1_ce5_tgt14	job_085_gm_b0002_vr20_sconv_k1.sh
86	aip-boyuwang	gradmatch	0.002	ResNet20BN	ConvNetBN	3	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchConvNetBN_K3_ce5_tgt14	job_086_gm_b0002_vr20_sconv_k3.sh
